City,Region,Total cases,New in last 24 hours
Auckland,DHB NZ,121,5
Bay of Plenty,DHB NZ,28,7
Canterbury,DHB NZ,59,6
Capital and Coast,DHB NZ,66,3
Counties Manukau,DHB NZ,62,3
Hawke's Bay,DHB NZ,24,5
Hutt Valley,DHB NZ,17,2
Lakes,DHB NZ,11,0
MidCentral,DHB NZ,20,1
Nelson Marlborough,DHB NZ,30,3
Northland,DHB NZ,13,2
South Canterbury,DHB NZ,10,0
Southern,DHB NZ,132,14
Tairawhiti,DHB NZ,1,0
Taranaki,DHB NZ,14,-1
Waikato,DHB NZ,125,8
Wairarapa,DHB NZ,8,2
Waitemata,NZ,117,9
West Coast,DHB NZ,3,0
Whanganui,DHB NZ,7,2
