City,Region,Number of cases,Change in last 24 hours
Auckland,DHB NZ,153,6
Bay of Plenty,DHB NZ,36,4
Canterbury,DHB NZ,99,7
Capital and Coast,DHB NZ,82,2
Counties Manukau,DHB NZ,88,7
Hawke's Bay,DHB NZ,33,0
Hutt Valley,DHB NZ,20,1
Lakes,DHB NZ,12,0
MidCentral,DHB NZ,28,1
Nelson Marlborough,DHB NZ,44,4
Northland,DHB NZ,18,1
South Canterbury,DHB NZ,10,0
Southern,DHB NZ,187,10
Tairawhiti,DHB NZ,1,0
Taranaki,DHB NZ,14,0
Waikato,DHB NZ,156,9
Wairarapa,DHB NZ,8,0
Waitemata,NZ,160,3
West Coast,DHB NZ,4,0
Whanganui,DHB NZ,7,-1
