City,Region,Number of cases,Change in last 24 hours
Auckland,DHB NZ,173,4
Bay of Plenty,DHB NZ,42,3
Canterbury,DHB NZ,135,0
Capital and Coast,DHB NZ,86,0
Counties Manukau,DHB NZ,98,3
Hawke's Bay,DHB NZ,38,3
Hutt Valley,DHB NZ,21,0
Lakes,DHB NZ,14,1
MidCentral,DHB NZ,28,0
Nelson Marlborough,DHB NZ,48,0
Northland,DHB NZ,25,1
South Canterbury,DHB NZ,11,0
Southern,DHB NZ,207,5
Tairawhiti,DHB NZ,1,0
Taranaki,DHB NZ,14,0
Waikato,DHB NZ,167,1
Wairarapa,DHB NZ,9,1
Waitemata,NZ,183,7
West Coast,DHB NZ,5,0
Whanganui,DHB NZ,7,0
