City,Region,Number of cases,Change in last 24 hours
Auckland,DHB NZ,176,1
Bay of Plenty,DHB NZ,41,-1
Canterbury,DHB NZ,136,6
Capital and Coast,DHB NZ,88,2
Counties Manukau,DHB NZ,101,1
Hawke's Bay,DHB NZ,41,3
Hutt Valley,DHB NZ,22,-2
Lakes,DHB NZ,16,2
MidCentral,DHB NZ,28,0
Nelson Marlborough,DHB NZ,48,0
Northland,DHB NZ,25,0
South Canterbury,DHB NZ,11,0
Southern,DHB NZ,209,3
Tairawhiti,DHB NZ,1,0
Taranaki,DHB NZ,14,0
Waikato,DHB NZ,177,1
Wairarapa,DHB NZ,8,0
Waitemata,NZ,195,3
West Coast,DHB NZ,5,0
Whanganui,DHB NZ,7,0
